번호,제목,담당부서,보도일,첨부파일,첨부파일내용 미리보기,상세페이지URL,내용,문제유형,파싱된보도일,원본보도일
1174,2024년 상반기 저축은행 및 상호금융조합 영업실적(잠정),중소금융감독국,2024.8.30,"240830 (보도자료) 석간_2024년 상반기 저축은행 및 상호금융조합 영업실적(잠정).hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=cdfc50b9a6374996aeef88e9db360395&fileSn=1&bbsId=), 240830 (보도자료) 석간_2024년 상반기 저축은행 및 상호금융조합 영업실적(잠정).pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=cdfc50b9a6374996aeef88e9db360395&fileSn=2&bbsId=)",<><보 도 자 료><> <> <보도><2024.8.30.(금) 석간><배포><2024.8.28.(수)> <> <담당부서><중소금융감독국 건전경영팀><책임자><팀 장><이희성><(02-3145-6773)><담당자><조사역><조석균><(02-3145-6791)> <ㅇ> <2024년 상반기 저축은행 및 상호금융조합 영업실적(잠정)> ※ 본 자료는 '24.6월말,https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=138001&menuNo=200218&pageIndex=118,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-08-30),2024-08-30,
1175,제4차 부동산PF 연착륙 대책 점검회의 개최,감독총괄국/은행감독국/금융안정지원국/자본시장감독국/보험검사1국/보험검사2국/중소금융감독국/중소금융검사1국/여신금융감독국,2024. 8. 29,[보도자료] 제4차 연착륙 방안 점검회의 개최.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=a5cbb5b17e944956ac134411bdeb765d&fileSn=1&bbsId=),"<><보도자료><> <보도시점><배포시><배포><2024. 8. 29.(목) 14:00> <제4차 부동산 PF 연착륙 대책 점검회의 개최> < ◈ 금융회사들은 ‘24.6월말 기준 연체, 연체유예, 만기연장 3회 이상 사업장 등 부실 가능성이 높은 사업장을 대상(33.7조원)으로 하여 1차 사업성 평가 실시 ㅇ 사업성 평가결과, 1차 평가대상 중 유의(C)·",https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=137993&menuNo=200218&pageIndex=118,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-08-29),2024-08-29,
1176,비청산 장외파생거래 증거금 교환제도에 대한 가이드라인 연장(안),자본시장감독국,2024.8.29,"240829 (보도자료) 석간_비청산 장외파생거래 증거금 교환제도에 대한 가이드라인 연장(안).hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=7d5db936a03d4dc3be587a192ae44cfe&fileSn=1&bbsId=), 240829 (보도자료) 석간_비청산 장외파생거래 증거금 교환제도에 대한 가이드라인 연장(안).pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=7d5db936a03d4dc3be587a192ae44cfe&fileSn=2&bbsId=)",<><보 도 자 료><> <> <보도><2024.8.29.(목) 석간 ><배포><2024.8.28.(수)> <> <담당부서><자본시장감독국 파생상품시장팀><책임자><팀 장><박성영><(02-3145-7600)><담당자><조사역><이성진><(02-3145-7604)> <> <「비청산 장외파생상품거래 증거금 교환제도에 대한 가이드라인」 연장> <◈ ’24.9월,https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=137989&menuNo=200218&pageIndex=118,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-08-29),2024-08-29,
1177,2024년도 금융회사 지역재투자 평가결과 발표,은행감독국/중소금융감독국,2024.5.16,240828 (보도자료) 2024년도 금융회사 지역재투자 평가결과 발표.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=67f8b3bc4bd1428c835479fd99b45897&fileSn=1&bbsId=),"<><보도자료><> <보도시점><2024. 8. 28.(수) 14:00><배포><2024. 8. 28.(수) 10:00> <2024년도 금융회사 지역재투자 평가결과 발표> <󰋼 시중은행 중에서는 하나·아이엠(舊 대구)·기업·농협은행이, 지방은행은 부산·광주·전북·경남은행, 상호저축은행은 JT저축은행이 최우수 등급을 획득> 금융위원회는 8월 28일 지역재투자",https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=137984&menuNo=200218&pageIndex=118,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-05-16),2024-05-16,
1178,24.6월말 은행 및 은행지주회사 BIS기준 자본비율 현황(잠정),은행감독국,2024.8.29,"240829 (보도자료) 조간_24.6월말 은행 및 은행지주회사 BIS기준 자본비율 현황(잠정).hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=d2bf8a167bc44fec89d8744576c1c2a4&fileSn=1&bbsId=), 240829 (보도자료) 조간_24.6월말 은행 및 은행지주회사 BIS기준 자본비율 현황(잠정).pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=d2bf8a167bc44fec89d8744576c1c2a4&fileSn=2&bbsId=)",<><보 도 자 료><> <> <보도><2024.8.29.(목) 조간><배포><2024.8.28.(수)> <> <담당부서><은행감독국 건전경영팀><책임자><팀 장><양유형><(02-3145-8050)><담당자><수석조사역><김 흠><(02-3145-8051)> <> <’24.6월말 은행지주회사 및 은행* BIS기준 자본비율 현황[잠정]> * 은행지주회사(신,https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=137977&menuNo=200218&pageIndex=118,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-08-29),2024-08-29,
1179,"이복현 금융감독원장, 「기업지배구조 개선을 위한 연구기관 간담회」 개최",기업공시국,2024.8.28,"240828 (보도자료) 0940_이복현 금융감독원장, 「기업지배구조 개선을 위한 연구기관 간담회」 개최.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=1113d7056cc84ea3b74b2c3d9263f8e5&fileSn=1&bbsId=), 240828 (보도자료) 0940_이복현 금융감독원장, 「기업지배구조 개선을 위한 연구기관 간담회」 개최.pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=1113d7056cc84ea3b74b2c3d9263f8e5&fileSn=2&bbsId=)","<><보 도 자 료><> <> <보도><2024.8.28.(수) 09:40><배포><2024.8.27.(화)> <> <담당 부서><기업공시국 기업공시총괄팀><책임자><국 장><오상완><(02-3145-8100)><담당자><팀 장><김준호><(02-3145-8475)> <> <이복현 금융감독원장, ｢기업지배구조 개선을 위한 연구기관 간담회｣ 개최> <1><>",https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=137975&menuNo=200218&pageIndex=118,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-08-28),2024-08-28,
1180,감사인 지정제도 온라인 설명회 실시,회계감독국,2024.8.28,"240828 (보도자료) 석간_감사인 지정제도 온라인 설명회 실시.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=6c208605467a49988563f20c6dac7c04&fileSn=1&bbsId=), 240828 (보도자료) 석간_감사인 지정제도 온라인 설명회 실시.pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=6c208605467a49988563f20c6dac7c04&fileSn=2&bbsId=)",<><보 도 자 료><> <> <보도><2024.8.28(수) 석간><배포><2024.8.27.(화)> <> <담당부서><회계감독국 감사제도운영팀><책임자><팀 장><손기숙><(02-3145-7977)><담당자><수석조사역><최석원><(02-3145-7975)> <> <감사인 지정제도 온라인 설명회 실시 - 지정기초자료 작성방법 및 지정제도 관련 주요 FA,https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=137969&menuNo=200218&pageIndex=119,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-08-28),2024-08-28,
1181,24.6월말 국내은행 부실채권 현황(잠정),은행감독국,2024.8.28,"240828 (보도자료) 석간_'24.6월말 국내은행 부실채권 현황(잠정).hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=832ae6086ad942a38b461d04d4f5a472&fileSn=1&bbsId=), 240828 (보도자료) 석간_'24.6월말 국내은행 부실채권 현황(잠정).pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=832ae6086ad942a38b461d04d4f5a472&fileSn=2&bbsId=)",<><보 도 자 료><> <> <보도><2024.8.28.(수) 석간><배포><2024.8.27.(화)> <> <담당부서><은행감독국 건전경영팀><책임자><팀 장><양유형><(02-3145-8050)><담당자><선임조사역><안상현><(02-3145-8052)> <> <'24.6월말 국내은행의 부실채권 현황[잠정]> 1. 부실채권(고정이하여신) 현황 □ ’2,https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=137968&menuNo=200218&pageIndex=119,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-08-28),2024-08-28,
1182,보험사기 대응 강화를 위한 보험업계 임원 간담회 개최,보험사기대응단,2024.8.27,240827 (보도자료) 1500_보험사기 대응 강화를 위한 보험업계 임원 간담회 개최.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=c514610d644b4eceb202d440ce42e565&fileSn=1&bbsId=),<><보 도 자 료><> <> <보도><2024.8.27.(화) 15:00><배포><2024.8.27.(화) > <> <담당 부서><보험사기대응단><책임자><실 장><정제용><(02-3145-8730)><담당자><팀 장><현은하><(02-3145-8888)> <> <보험사기 대응 강화를 위한 보험업계 임원 간담회 개최> << 주요 내용 > ◈ 금융감독원은 ,https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=137961&menuNo=200218&pageIndex=119,"< 주요 내용 >
◈금융감독원은 보험업계 임원 간담회를 개최하여, 개정 「보험사기방지 특별법」 관련 세부 이행방안 및 하반기 중점 추진과제 등에 대해 집중 논의하였음
-(특별법 이행방안)경찰청,방심위 등과 사전 협의한 실무기준 등에 따라 보험사기 알선,광고 행위 등에 대해 적극 수사의뢰 및 심의요청하고, 자동차 보험사기 피해자 구제를 더욱 강화해 나가기로 협의
-(중점 추진과제)건보공단,자배원 등에 대한 자료요청을 통해 브로커와 병,의원이 연루된 조직적 보험사기, 고의 자동차사고에 신속하고 효과적으로 대응하고, 경찰의 하반기 보험사기 특별단속을 집중 지원하기로 협의
◈앞으로도 금융감독원은 경찰청 등 관계기관 및 보험업계 등과 협력체계를 공고히 하여 민생침해 보험사기에 적극 대응해 나가겠음
※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.「」,-",보도일이 2025년 이전 (2024-08-27),2024-08-27,
1183,"금융감독원, 이화여대와 공동으로 청년 채용설명회 개최",금융시장안정국,2024.8.27,"240827 (보도자료) 1300_금융감독원, 이화여대와 공동으로 청년 채용설명회 개최.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=d2f787c3e5034b058e14268a8d771732&fileSn=1&bbsId=), 240827 (보도자료) 1300_금융감독원, 이화여대와 공동으로 청년 채용설명회 개최.pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=d2f787c3e5034b058e14268a8d771732&fileSn=2&bbsId=)",<><보 도 자 료><> <> <보도><2024.8.27.(화) 13:00><배포><2024.8.26.(월)> <> <담당부서><금융시장안정국 ESG시스템리스크분석팀><책임자><국 장><이 진><(02-3145-8170)><담당자><팀 장><김정일><(02-3145-8190)><이화여자대학교 홍보실><책임자><팀 장><김수정><(02-3277-2047)><,https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=137956&menuNo=200218&pageIndex=119,"※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.「」,-",보도일이 2025년 이전 (2024-08-27),2024-08-27,
1184,주요 분쟁사례로 알아보는 소비자 유의사항(교통사고처리지원금 특약 관련),분쟁조정1국,2024.8.28,"240828 (보도자료) 조간_주요 분쟁사례로 알아보는 소비자 유의사항(교통사고처리지원금 특약 관련).hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=4494f94bcb104054ae1a67fe2e1465cc&fileSn=1&bbsId=), 240828 (보도자료) 조간_주요 분쟁사례로 알아보는 소비자 유의사항(교통사고처리지원금 특약 관련).pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=4494f94bcb104054ae1a67fe2e1465cc&fileSn=2&bbsId=)", <><보 도 자 료><> <> <보도><2024.8.28.(수) 조간><배포><2024.8.27.(화)> <> <담당부서><분쟁조정1국 보험분쟁2팀><책임자><팀 장><박민정><(02-3145-5221)><담당자><선 임><이정헌><(02-3145-5231)><조사역><이화진><(02-3145-5205)> <> <주요 분쟁사례로 알아보는 소비자 유의사항>,https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=137954&menuNo=200218&pageIndex=119,"◈최근 운전자보험의 시장규모가 지속적으로 성장함에 따라* 관련 금융소비자 분쟁도 꾸준히 늘고 있습니다.
* ’14~’23 국내 보험사 수입보험료 총계 기준, 해마다 연간 5% 이상의 성장세 유지
-운전자보험의 주요 선택상품인 교통사고처리지원금 특약은 형사절차와 결부되어 있어 보상과 관련하여 다양한 분쟁이 발생하고 있습니다.
◈교통사고처리지원금 특약은 피보험자가 교통사고로 피해자에게 형사합의금을 지급함으로써 부담하게 될 손해를 담보합니다.
-도로교통법 등 관련법규 강화에 따라 교통사고 발생시 형사합의의 중요성이 높아지면서 동 특약에 대한 관심이 늘어나고 있습니다.
☞주요 분쟁사례를 통해 금융소비자가 특약에 가입하고 형사합의를 진행하며 보험금을 청구할 경우 유의할 사항을 안내하여 드립니다.
※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.「」,-",보도일이 2025년 이전 (2024-08-28),2024-08-28,
1185,"금융감독원, 이화여대와 공동으로 「Toward the era of Green Transition」 국제 컨퍼런스 개최",금융시장안정국,2024.8.27,"240827 (보도자료) 0900_금융감독원, 이화여대와 공동으로 「Toward the era of Green Transition」 국제 컨퍼런스 개최.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=8ecf21bc38d24481afd9c463e78cb447&fileSn=1&bbsId=), 240827 (보도자료) 0900_금융감독원, 이화여대와 공동으로 「Toward the era of Green Transition」 국제 컨퍼런스 개최.pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=8ecf21bc38d24481afd9c463e78cb447&fileSn=2&bbsId=)",<><보 도 자 료><> <> <보도><2024.8.27.(화) 09:00><배포><2024.8.26.(월)> <> <담당부서><금융시장안정국 ESG시스템리스크분석팀><책임자><국 장><이 진><(02-3145-8170)><담당자><팀 장><김정일><(02-3145-8190)><이화여자대학교 홍보실><책임자><팀 장><김수정><(02-3277-2047)><,https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=137945&menuNo=200218&pageIndex=119,"※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.「」,-",보도일이 2025년 이전 (2024-08-27),2024-08-27,
1186,2024년 상반기 여신전문금융회사 영업실적(잠정),여신금융감독국,2024.8.27,"240827 (보도자료) 석간_2024년 상반기 여신전문금융회사 영업실적(잠정).hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=97f84129a55d40b38a36953d0beffae9&fileSn=1&bbsId=), 240827 (보도자료) 석간_2024년 상반기 여신전문금융회사 영업실적(잠정).pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=97f84129a55d40b38a36953d0beffae9&fileSn=2&bbsId=)",<><보 도 자 료><> <> <보도><2024.8.27.(화) 석간><배포><2024.8.26.(월)> <> <담당부서><여신금융감독국 건전경영팀><책임자><팀 장><최영주><(02-3145-7552)><담당자><조사역><조민혜><(02-3145-7557)><조사역><채다희><(02-3145-7568)> <> <2024년 상반기 여신전문금융회사 영업실적[,https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=137944&menuNo=200218&pageIndex=119,"※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.「」,-",보도일이 2025년 이전 (2024-08-27),2024-08-27,
1187,두산로보틱스 증권신고서에 대한 정정요구 관련 설명,공시심사실,2024.8.26,"240826_(보도참고) 두산로보틱스 증권신고서에 대한 정정요구 관련 설명.pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=59a04ea1b7954315be64090cec204e66&fileSn=1&bbsId=), 240826_(보도참고) 두산로보틱스 증권신고서에 대한 정정요구 관련 설명.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=59a04ea1b7954315be64090cec204e66&fileSn=2&bbsId=)",<><보 도 참 고><> <> <보도><배포시><배포><2024.8.26.(월)> <> <담당부서><공시심사실 특별심사팀><책임자><실 장><조치형><(02-3145-8420)><담당자><부국장><봉진영><(02-3145-8431)> <> <두산로보틱스㈜ 증권신고서에 대한 정정요구 관련 설명> □ 최근 언론 등에서 지난 7.24. 정정요구 이후 두산로보틱스,https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=137942&menuNo=200218&pageIndex=119,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-08-26),2024-08-26,
1188,자동차 보험사기로 인한 부당 할증보험료 환급제도 법정화에 따른 피해자 구제 강화 및 장기 미환급 보험료 찾아주기 캠페인.,보험사기대응단,2024.8.27,"240827 (보도자료) 조간_자동차 보험사기로 인한 부당 할증보험료 환급제도 법정화에 따른 피해자 구제 강화 및 장기 미환급 보험료 찾아주기 캠페인.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=0bb672356f5e48e7ba5d974fa73defa1&fileSn=1&bbsId=), 240827 (보도자료) 조간_자동차 보험사기로 인한 부당 할증보험료 환급제도 법정화에 따른 피해자 구제 강화 및 장기 미환급 보험료 찾아주기 캠페인.pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=0bb672356f5e48e7ba5d974fa73defa1&fileSn=2&bbsId=)",<><보 도 자 료><><> <> <보도><2024.8.27.(화) 조간><배포><2024.8.26(월) > <> <담당부서><금융감독원 보험사기대응단 특별조사팀><책임자><팀 장><김종호><(02-3145-8880)><담당자><선 임><양길남><(02-3145-8735)><보험개발원 자동차보험실 자동차보험팀><책임자><실 장><문성연><(02-368-43,https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=137929&menuNo=200218&pageIndex=119,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-08-27),2024-08-27,
1189,"위메프 티몬 사태 미정산 피해 현황점검, e커머스 제도개선 방안 조만간 마련",금융IT안전국,2024.8.23,"(보도자료) 위메프 티몬 사태 미정산 피해 현황점검, e커머스 제도개선 방안 조만간 마련.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=634336fc692449aba350e883cc4d17aa&fileSn=1&bbsId=), (붙임) 위메프 티몬 미정산금액 상세현황.pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=634336fc692449aba350e883cc4d17aa&fileSn=2&bbsId=)","<><보도자료><><보도시점><2024. 8. 25.(일) 17:00><배포><2024. 8. 24.(토) 14:00> <위메프·티몬 사태 미정산 피해 현황점검, e커머스 제도개선 방안 조만간 마련> <- 대출금리 인하 검토 등 1.6조원 유동성 공급 방안 지속 보완 - 인터파크커머스 등 他 e커머스 업체 미정산 피해현황 신속 파악 재발 방지를 위한 ｢대규",https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=137918&menuNo=200218&pageIndex=119,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-08-23),2024-08-23,
1190,OO은행 부적정 대출 관련 설명,은행검사1국,2024.8.9,240825 (보도참고) OO은행 부적정 대출 관련 설명.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=521318798686406489bd3d60c5210abd&fileSn=1&bbsId=),<><보 도 참 고><> <> <보도><2024.8.26.(월) 조간><배포><2024.8.25.(일)> <> <담당부서><은행검사1국><책임자><국 장><김형순><(02-3145-7050)><담당자><팀 장><박진호><(02-3145-7060)> <> <○○은행의 전직 회장 친인척 부적정 대출 취급 관련 추가 사실관계 등에 대한 설명> □ 최근 금융감독원,https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=137916&menuNo=200218&pageIndex=120,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-08-09),2024-08-09,
1191,"금융소비자도 금융업계 종사자도, 한눈에 쏘옥_금융감독원 홈페이지 이용이 더욱 편리해집니다",정보화전략국/공보실,2024.8.26,"240826 (보도자료)_석간_금융소비자도 금융업계 종사자도, 한눈에 쏘옥_금융감독원 홈페이지 이용이 더욱 편리해집니다.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=56e9da28bdba433c810820dd07aca4b1&fileSn=1&bbsId=), 240826 (보도자료)_석간_금융소비자도 금융업계 종사자도, 한눈에 쏘옥_금융감독원 홈페이지 이용이 더욱 편리해집니다.pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=56e9da28bdba433c810820dd07aca4b1&fileSn=2&bbsId=)",<><보 도 자 료><> <> <보도><2024.8.26.(월) 석간><배포><2024.8.23.(금)> <> <담당부서><정보화전략국 정보화기획팀 경영정보시스템팀 감독정보시스템2팀><책임자><국 장><위충기><(02-3145-5370)><담당자><팀 장><김송범><(02-3145-5460)><담당자 ><부국장><박용운><(02-3145-5420)><담당자,https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=137915&menuNo=200218&pageIndex=120,"※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.
해당 보도자료는
금융감독원 공식 유튜브에서도
확인
가능합니다
☞ <
https://youtu.be/TdpNWKf5Ows?si=NRimTaqkdaJOoIMs
vu0
>
<
https://youtu.be/fyN12nALd-I?si=Tjl3yaloWd53EBPD
>",보도일이 2025년 이전 (2024-08-26),2024-08-26,
1192,'24.6월말 보험회사 대출채권 현황,보험감독국,2024.8.26,"240826 (보도자료) 석간_'24.6월말 보험회사 대출채권 현황.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=009f6accf91249a8a92489c43b2394e0&fileSn=1&bbsId=), 240826 (보도자료) 석간_'24.6월말 보험회사 대출채권 현황.pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=009f6accf91249a8a92489c43b2394e0&fileSn=2&bbsId=)",<><보 도 자 료><> <> <보도><2024.8.26.(월) 석간><배포><2024.8.23.(금)> <> <담당부서><보험감독국 건전경영팀><책임자><팀 장><곽정민><(02-3145-7455)><담당자><선임조사역><홍정연><(02-3145-7457)> <> <'24.6월말 보험회사 대출채권 현황> <1><><개 요> □ ’24.6월말 보험회사 대출,https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=137914&menuNo=200218&pageIndex=120,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-08-26),2024-08-26,
1193,"주요 민원사례로 보는 소비자 유의사항 -은행 대출,환전 및 해외 채권,주식 투자 관련-",금융민원국,2024.8.26,"240826 (보도자료) 조간_주요 민원사례로 보는 소비자 유의사항 -은행 대출·환전 및 해외 채권·주식 투자 관련-.hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=8517128093ac40458be01fc0f0cde08b&fileSn=1&bbsId=), 240826 (보도자료) 조간_주요 민원사례로 보는 소비자 유의사항 -은행 대출·환전 및 해외 채권·주식 투자 관련-.pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=8517128093ac40458be01fc0f0cde08b&fileSn=2&bbsId=)",<><보 도 자 료><> <> <보도><2024.8.26.(월) 조간><배포><2024.8.23.(금)> <\> <담당부서><금융민원국 은행·금융투자민원팀><책임자><팀 장><이민호><(02-3145-5762)><담당자><조사역><곽지은><(02-3145-5765)> <> <주요 민원사례로 알아보는 소비자 유의사항> <- 은행 대출․환전 및 해외 채권․주식,https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=137910&menuNo=200218&pageIndex=120,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-08-26),2024-08-26,
1194,2024년 2분기 자산운용회사 영업실적(잠정),자산운용감독국,2024.8.26,"240826 (보도자료) 조간_2024년 2분기 자산운용회사 영업실적(잠정).hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=e4d3216f9dfe487c9d941e9ee970d8ec&fileSn=1&bbsId=), 240826 (보도자료) 조간_2024년 2분기 자산운용회사 영업실적(잠정).pdf (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=e4d3216f9dfe487c9d941e9ee970d8ec&fileSn=2&bbsId=)",<><보 도 자 료><> <> <보도><2024.8.26.(월) 조간 ><배포><2024.8.23.(금)> <> <담당부서><자산운용감독국 자산운용총괄팀><책임자><팀 장><최지혜><(02-3145-6702)><담당자><조사역><이승엽><(02-3145-6706)> <> <2024년 2분기 자산운용회사 영업실적 (잠정)> <><< 자산운용산업 영업실적 요약,https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=137911&menuNo=200218&pageIndex=120,※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.,보도일이 2025년 이전 (2024-08-26),2024-08-26,
1195,나도 모르게 실행된 대출 이제는 사전에 차단할 수 있습니다,디지털혁신국,2024. 8. 23,"★(보도자료)나도 모르게 실행된 대출 이제는 사전에 차단할 수 있습니다_f.hwpx (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=619129ce23cd4b98b6e3a5df330470c7&fileSn=1&bbsId=), (모두발언)_여신거래안심차단_금융위원장_FN(2).hwpx (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=619129ce23cd4b98b6e3a5df330470c7&fileSn=2&bbsId=), (모두발언)_여신거래 안심차단시스템 간담회_금융감독원장_FN(3).hwp (https://www.fss.or.kr/fss/cmmn/file/fileDown.do?menuNo=200218&atchFileId=619129ce23cd4b98b6e3a5df330470c7&fileSn=3&bbsId=)","<여신거래 안심차단 시스템 간담회> <모두발언> 2024. 8. 23.(금) NH농협은행 본점 대회의실(3층) <상기 자료는 보도 편의를 위해 제공해 드리는 것으로서 실제 발언은 자료와 다를 수 있음을 유념해 주시기 바랍니다.> <금융감독원> <원 장 이 복 현> <Ⅰ><>< 인사말> 안녕하십니까? 금융감독원장 이복현입니다. 먼저, 여신거래 안심차단 시스템",https://www.fss.or.kr/fss/bbs/B0000188/view.do?nttId=137890&menuNo=200218&pageIndex=120,"보이스피싱 피해 방지를 위한 「여신거래 안심차단」 서비스 시행(8.23일)
？ 은행, 금융투자, 보험, 여신, 저축은행, 상호금융, 우정사업본부 등 4,012개 금융회사(단위조합 포함)가 참여하는 신속한 대응 시스템 마련
？ 「여신거래 안심차단」 서비스는 신용대출, 카드론, 신용카드발급, 주식담보대출, 할부금융, 예,적금 담보대출 등에 적용
※ 자세한 내용은 첨부파일을 참고하시기 바랍니다.",보도일이 2025년 이전 (2024-08-23),2024-08-23,
